🇨🇳 4K & 8K频道,#genre#
华数4k,http://[2409:8087:5e01:24::19]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
华数4k,http://[2409:8087:5e01:24::14]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
华数4k,http://[2409:8087:5e01:24::1e]:6060/000000001000/2000000004000000014/1.m3u8?channel-id=hnbblive&Contentid=2000000004000000014&livemode=1&stbId=3#http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000014$IPv6
华数4k,http://[2409:8087:5e01:24::17]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
华数4k,http://[2409:8087:5e01:24::3]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
华数4k,http://[2409:8087:5e01:24::5]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
华数4k,http://[2409:8087:5e01:24::7]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
华数4k,http://[2409:8087:5e01:24::6]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
华数4k,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
华数4k,http://[2409:8087:5e01:24::4]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
华数4k,http://[2409:8087:5e01:24::15]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
华数4k,http://[2409:8087:5e01:24::18]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
华数4k,http://[2409:8087:5e01:24::13]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
华数4k,http://[2409:8087:5e01:24::8]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
华数4k,http://[2409:8087:5e01:24::11]:6610/000000001000/2000000004000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014&IASHttpSessionId=OTT19019320240419154124000281$IPv6
4KUHD,http://[2409:8087:5c00:10:5::121]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225726/index.m3u8$IPv6
4KUHD,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010006/1.m3u8$IPv6
4KUHD,http://[2409:8087:5c00:10:5::123]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225726/index.m3u8$IPv6
4KUHD,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010006/1.m3u8#http://111.12.101.22:6610/PLTV/77777777/224/3221225726/index.m3u8?#http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225726/index.m3u8?servicetype=1$IPv6
4KUHD,http://[2409:8087:5c00:10:5::8a]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225726/index.m3u8$IPv6
4K,http://[2409:8087:5c00:10:5::84]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225863/index.m3u8$IPv6
CCTV16,http://majian.ixiaobai.net:5540/udp/239.37.1.22:5540?$3840x2160
CCTV16,http://ycsj.aguihome.com:4022/rtp/233.50.201.63:5140$3840x2160
CCTV16,http://116.21.126.41:7777/udp/239.77.1.76:5146$1920x1080
CCTV16,http://221.221.153.193:8888/rtp/239.3.1.184:8001$1920x1080
CCTV16,http://60.189.43.82:9999/rtp/233.50.201.192:5140$1920x1080
CCTV16,http://eastscreen.tv/ooooo.php?id=CCTV16HD$1920x1080
CCTV16,http://118.254.203.45:8888/rtp/239.76.253.98:9000$1920x1080
CCTV16,http://xuys.top:8888/udp/225.1.2.237:5002$1920x1080
CCTV16,http://114.243.102.64:4000/rtp/239.3.1.184:8001$1920x1080
CCTV16,http://183.185.13.120:8083/rtp/226.0.2.169:9264$1920x1080
CCTV16,http://110.178.52.75:8083/rtp/239.1.1.122:8122$1920x1080
CCTV16,http://114.249.161.174:4022/rtp/239.3.1.184:8001$1920x1080
CCTV16,http://171.117.245.185:8084/rtp/226.0.2.169:9264$1920x1080
CCTV16,http://171.117.73.233:8085/rtp/226.0.2.169:9264$1920x1080
CCTV16,http://114.254.187.194:9999/rtp/239.3.1.184:8001$1920x1080
CCTV16,http://27.19.146.209:2701/rtp/239.69.1.247:11124$1920x1080
CCTV16,http://171.120.57.130:8082/rtp/226.0.2.169:9264$1920x1080
CCTV16,http://home.yulei.online:9999/rtp/226.0.2.169:9264$1920x1080
CCTV16,http://61.49.76.215:5555/rtp/239.3.1.184:8001$1920x1080
CCTV16,http://183.185.167.58:8084/rtp/226.0.2.169:9264$1920x1080
CCTV16,http://60.27.135.201:8082/rtp/225.1.2.237:5002$1920x1080
CCTV16,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.184:8001$1920x1080
CCTV16,http://119.98.133.99:4022/rtp/239.69.1.247:11124$1920x1080
CCTV16,http://123.113.186.207:8000/rtp/239.3.1.184:8001$1920x1080
CCTV16,http://183.185.41.93:8085/rtp/226.0.2.169:9264$1920x1080
CCTV16,http://101.68.81.44:9999/rtp/233.50.201.192:5140$1920x1080
CCTV16,http://116.4.96.235:4080/udp/239.77.0.165:5146$1920x1080
CCTV16,http://1.70.32.177:8082/rtp/239.1.1.122:8122$1920x1080
CCTV16,http://221.198.182.240:8888/rtp/225.1.2.237:5002$1920x1080
CCTV16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd4k/15000000$1920x1080
淘剧场,http://123.112.213.221:4022/rtp/239.3.1.95:8001$1920x1080
淘剧场,http://111.196.184.130:5555/rtp/239.3.1.95:8001$1920x1080
淘剧场,http://221.221.165.219:8888/rtp/239.3.1.95:8001$1920x1080
淘剧场,http://111.193.225.167:8888/rtp/239.3.1.95:8001$1920x1080
淘电影,http://111.193.225.167:8888/rtp/239.3.1.250:8001$1920x1080
淘电影,http://114.252.227.154:8000/rtp/239.3.1.250:8001$1920x1080
